SampleID,River,Riv,Region,Taxon,Taxon_ID,Metal,Metal_Type,Concentration_nmolperg
1,Abeek,abe,Maas,Isopoda-Asselus,Asel,Hg,NonEssential,0.283613341
2,Abeek,abe,Maas,Isopoda-Asselus,Asel,Hg,NonEssential,0.248566728
3,Abeek,abe,Maas,Isopoda-Asselus,Asel,Hg,NonEssential,0.246074081
4,Abeek,abe,Maas,Isopoda-Asselus,Asel,Hg,NonEssential,0.264120844
5,Abeek,abe,Maas,Chironomids,Chir,Hg,NonEssential,0.264669226
6,Abeek,abe,Maas,Chironomids,Chir,Hg,NonEssential,0.247170846
7,Abeek,abe,Maas,Chironomids,Chir,Hg,NonEssential,0.248217758
8,Abeek,abe,Maas,Chironomids,Chir,Hg,NonEssential,0.274191136
9,Witbeek,wit,Maas,Gammarus,Gamm,Hg,NonEssential,0.344633332
10,Witbeek,wit,Maas,Gammarus,Gamm,Hg,NonEssential,0.444787876
11,Witbeek,wit,Maas,Gammarus,Gamm,Hg,NonEssential,0.389949649
12,Witbeek,wit,Maas,Gammarus,Gamm,Hg,NonEssential,0.422005085
13,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Hg,NonEssential,0.51453213
14,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Hg,NonEssential,0.731940775
15,Jeker,jek,Maas,Isopoda-Asselus,Asel,Hg,NonEssential,0.311082307
16,Jeker,jek,Maas,Isopoda-Asselus,Asel,Hg,NonEssential,0.293434369
17,Jeker,jek,Maas,Isopoda-Asselus,Asel,Hg,NonEssential,0.337404656
18,Jeker,jek,Maas,Isopoda-Asselus,Asel,Hg,NonEssential,0.331721422
1,Abeek,abe,Maas,Isopoda-Asselus,Asel,Fe,Essential,42976.09455
2,Abeek,abe,Maas,Isopoda-Asselus,Asel,Fe,Essential,28650.7297
3,Abeek,abe,Maas,Isopoda-Asselus,Asel,Fe,Essential,38499.41803
4,Abeek,abe,Maas,Isopoda-Asselus,Asel,Fe,Essential,36350.6133
5,Abeek,abe,Maas,Chironomids,Chir,Fe,Essential,185155.3407
6,Abeek,abe,Maas,Chironomids,Chir,Fe,Essential,160623.1534
7,Abeek,abe,Maas,Chironomids,Chir,Fe,Essential,178887.9936
8,Abeek,abe,Maas,Chironomids,Chir,Fe,Essential,158116.2145
9,Witbeek,wit,Maas,Gammarus,Gamm,Fe,Essential,3939.475334
10,Witbeek,wit,Maas,Gammarus,Gamm,Fe,Essential,6267.347121
11,Witbeek,wit,Maas,Gammarus,Gamm,Fe,Essential,4297.609455
12,Witbeek,wit,Maas,Gammarus,Gamm,Fe,Essential,5909.213
13,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Fe,Essential,21129.91315
14,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Fe,Essential,36887.81449
15,Jeker,jek,Maas,Isopoda-Asselus,Asel,Fe,Essential,20592.71197
16,Jeker,jek,Maas,Isopoda-Asselus,Asel,Fe,Essential,25785.65673
17,Jeker,jek,Maas,Isopoda-Asselus,Asel,Fe,Essential,27397.26027
18,Jeker,jek,Maas,Isopoda-Asselus,Asel,Fe,Essential,14504.43191
1,Abeek,abe,Maas,Isopoda-Asselus,Asel,Co,Essential,155.391716
2,Abeek,abe,Maas,Isopoda-Asselus,Asel,Co,Essential,41.06697436
3,Abeek,abe,Maas,Isopoda-Asselus,Asel,Co,Essential,89.30157976
4,Abeek,abe,Maas,Isopoda-Asselus,Asel,Co,Essential,145.513719
5,Abeek,abe,Maas,Chironomids,Chir,Co,Essential,123.0784111
6,Abeek,abe,Maas,Chironomids,Chir,Co,Essential,105.4711282
7,Abeek,abe,Maas,Chironomids,Chir,Co,Essential,118.3601717
8,Abeek,abe,Maas,Chironomids,Chir,Co,Essential,107.6928037
9,Witbeek,wit,Maas,Gammarus,Gamm,Co,Essential,6.800943444
10,Witbeek,wit,Maas,Gammarus,Gamm,Co,Essential,8.901973427
11,Witbeek,wit,Maas,Gammarus,Gamm,Co,Essential,7.219215041
12,Witbeek,wit,Maas,Gammarus,Gamm,Co,Essential,7.454567051
13,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Co,Essential,53.87321195
14,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Co,Essential,31.80985187
15,Jeker,jek,Maas,Isopoda-Asselus,Asel,Co,Essential,9.116284594
16,Jeker,jek,Maas,Isopoda-Asselus,Asel,Co,Essential,8.908421428
17,Jeker,jek,Maas,Isopoda-Asselus,Asel,Co,Essential,11.57585733
18,Jeker,jek,Maas,Isopoda-Asselus,Asel,Co,Essential,4.196630071
1,Abeek,abe,Maas,Isopoda-Asselus,Asel,Cu,Essential,2298.177698
2,Abeek,abe,Maas,Isopoda-Asselus,Asel,Cu,Essential,2750.291128
3,Abeek,abe,Maas,Isopoda-Asselus,Asel,Cu,Essential,2493.626664
4,Abeek,abe,Maas,Isopoda-Asselus,Asel,Cu,Essential,2671.765335
5,Abeek,abe,Maas,Chironomids,Chir,Cu,Essential,496.0186322
6,Abeek,abe,Maas,Chironomids,Chir,Cu,Essential,549.0510811
7,Abeek,abe,Maas,Chironomids,Chir,Cu,Essential,519.7809461
8,Abeek,abe,Maas,Chironomids,Chir,Cu,Essential,550.467378
9,Witbeek,wit,Maas,Gammarus,Gamm,Cu,Essential,938.2179838
10,Witbeek,wit,Maas,Gammarus,Gamm,Cu,Essential,1203.537595
11,Witbeek,wit,Maas,Gammarus,Gamm,Cu,Essential,1354.294527
12,Witbeek,wit,Maas,Gammarus,Gamm,Cu,Essential,1155.068769
13,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Cu,Essential,1039.24716
14,Witbeek,wit,Maas,Ephemeroptera-Baetis,Baet,Cu,Essential,969.3765147
15,Jeker,jek,Maas,Isopoda-Asselus,Asel,Cu,Essential,2385.830737
16,Jeker,jek,Maas,Isopoda-Asselus,Asel,Cu,Essential,2715.513172
17,Jeker,jek,Maas,Isopoda-Asselus,Asel,Cu,Essential,2556.730557
18,Jeker,jek,Maas,Isopoda-Asselus,Asel,Cu,Essential,2523.368898
1,Abeek,abe,Maas,Isopoda-Asselus,Asel,Zn,Essential,1801.315387
2,Abeek,abe,Maas,Isopoda-Asselus,Asel,Zn,Essential,1756.194555
3,Abeek,abe,Maas,Isopoda-Asselus,Asel,Zn,Essential,1673.600489
4,Abeek,abe,Maas,Isopoda-Asselus,Asel,Zn,Essential,1994.034873
5,Abeek,abe,Maas,Chironomids,Chir,Zn,Essential,7688.742735
6,Abeek,abe,Maas,Chironomids,Chir,Zn,Essential,5726.063016
