"","Riv","Hg","Fe","Co","Cu","Zn","Cd","Pb","As","HgTU","CuTU","ZnTU","CdTU","PbTU","AsTU","TU"
"1","abe",0.000117261,576.0426368,0.248500051,0.229784145,4.133750239,0.014692073,0.082387757,0.308033682,0.019601153325,0.243341409555,0.337830738282275,0.211737258718333,0.144667315681356,0.4615576691088,1.41873554467076
"2","abe",3.04e-05,194.8126959,0.085471228,0.159787582,1.460228774,0.005625234,0.037125031,0.108637359,0.00508161333333333,0.169215049338,0.11933719655515,0.08106899733,0.0651890374847458,0.1627822187256,0.602674112766829
"3","abe",2.82e-05,171.0322272,0.084833685,0.061232917,1.775297206,0.006185147,0.02872936,0.083588128,0.004713865,0.064845659103,0.14508616416035,0.0891382768483334,0.0504468084067797,0.1252484509952,0.479479224513663
"4","abe",8.88e-05,370.7456582,0.21784112,0.193075268,3.599166912,0.013880206,0.062190623,0.196804159,0.01484366,0.204466708812,0.2941419158832,0.200036902136667,0.109202517674576,0.2948913518456,1.11758305635204
"5","abe",2.58e-05,212.1078159,0.109639165,0.079597922,1.520062142,0.006267415,0.032438521,0.111132404,0.004312685,0.084294199398,0.12422707855495,0.0903238958416667,0.0569598436542373,0.1665207941536,0.526638496602454
"6","wit",3.79e-06,34.94889891,0.014025473,0.016217207,0.372954476,0.002779147,0.01805834,0.010689954,0.000633530083333333,0.017174022213,0.0304797045511,0.0400521401816667,0.0317092207457627,0.0160178270736,0.136066444848463
"7","wit",8.51e-06,59.25221057,0.021569879,0.037637776,1.087251529,0.001211331,0.029240844,0.013762989,0.00142251741666667,0.039858404784,0.088855631207525,0.017457298595,0.0513449396338983,0.0206224627176,0.21956125435469
"8","wit",7.07e-06,90.464138,0.028312472,0.019951885,0.536389531,0.000810579,0.023515877,0.025777344,0.00118180941666667,0.021129046215,0.043836434420975,0.011681794355,0.0412922857152542,0.0386247722496,0.157746142372496
"9","wit",1.31e-05,117.7925681,0.045945841,0.04982952,0.71844663,0.001433055,0.039894677,0.028020726,0.00218977416666667,0.05276946168,0.05871505083675,0.020652710975,0.0700523480881356,0.0419862558384,0.246365601584952
"10","wit",3.91e-06,40.06642679,0.018248112,0.016188084,0.458424309,0.000537706,0.016304045,0.011793306,0.000653589083333333,0.017143180956,0.037464726653025,0.00774923963666667,0.0286287976610169,0.0176710897104,0.109310623700442
"11","jek",0.000877753,355.0697016,0.114279696,0.803381692,7.534625655,0.011396806,0.279766851,0.084092372,0.146723728558333,0.850781211828,0.615767281654875,0.164246969136667,0.491251623111864,0.1260040102048,2.39477482449454
"12","jek",0.001298762,438.401137,0.138915517,0.920125804,8.668963955,0.014389419,0.336373965,0.109180226,0.217098891316667,0.974413226436,0.708471079222375,0.207375510155,0.590649877525424,0.1635956506384,2.86160423529387
"13","jek",0.001281337,368.3276357,0.118104616,0.737936716,6.583706932,0.010852031,0.277627848,0.090510876,0.214186157358333,0.781474982244,0.5380534490177,0.156395853428333,0.487495678861017,0.1356214965984,2.31322761750778
"14","jek",0.001133963,386.5489526,0.127185187,0.573514953,5.471529215,0.009432338,0.251953319,0.102845548,0.189551365141667,0.607352335227,0.447160725095875,0.135935711143333,0.442412946583051,0.1541037691232,1.97651685231413
"15","jek",0.000802015,315.214499,0.108187584,0.48348482,4.839866363,0.00831296,0.221943506,0.081188315,0.134063490708333,0.51201042438,0.395538078516175,0.119803608533333,0.389717749518644,0.121652571196,1.67278592285249
